7	Aleph	1	http://alephj.huji.ac.il/	1565-1525	English	Aleph: Historical Studies in Science and Judaism	Aleph	Hebrew University of Jerusalem
8	Ambix	3	http://www.open.ac.uk/Arts/HST/SHAC/ambix.htm	0002-6980	English	Ambix: Journal of the Society for the History of Alchemy and Chemistry	Ambix: Journal of the Society for the History of Alchemy and Chemistry	Black Bear Press Ltd.
13	Analecta	2	http://www.ihnpan.waw.pl/redakcje/analecta/index.html	1230-1159	Polish	Analecta: Studia i Materialy z Dziejów Nauki		Polska Akademia Nauk, Instytut Historii Nauki
15	Ann. Sci.	4	http://www.tandf.co.uk/journals/tf/00033790.html	0003-3790	English	Annals of Science: The History of Science and Technology	Annals of Science: The History of Science and Technology	Tayler and Francis
18	Apeiron	4		0003-6390      	English	Apeiron: Journal for Ancient Philosophy and Science	Apeiron: Journal for Ancient Philosophy and Science	Academic Printing & Publishing
19	Arab. Sci. Phil.	2	http://www.cup.org/journals/journal_catalogue.asp?historylinks=ALPHA&mnemonic=ASP	0957-4239	English	Arabic Sciences and Philosophy		Cambridge University Press
23	Arch. Hist. Exact Sci.	6	http://link.springer.de/link/service/journals/00407/index.htm	0003-9519	English*	Archive for History of Exact Sciences		Springer-Verlag
24	Arch. Int. Hist. Sci.	2	http://www.msh-reseau.prd.fr/LesMSH/	0003-9810	English, French, German, Italian, Russian, Spanish	Archives Internationales d'Histoire des Sciences		Istituto della Enciclopedia Italiana
25	Arch. Natur. Hist.	2	http://www.shnh.org/PUB_ANH_main.htm	0260-9541	English	Archives of Natural History		society for the history of natural history 'http://www.shnh.org/archives.html
29	Ber. Wissenschaftsgesch.	4	http://www.wiley-vch.de/home2/bewi/	0170-6233	German (English summaries)	Berichte zur Wissenschaftsgeschichte	Berichte zur Wissenschafts-geschichte	WILEY-VCH 
31	Boll. Stor. Sci. Mat.	2	http://www.math.unifi.it/archimede/archimede/bollettino/bollettino.html	0392-4432	Italian	Bollettino di Storia delle Scienze Matematiche		Institutui Editoriale e Poligrafici Internazionali
33	Brit. J. Hist. Sci.	4	http://titles.cambridge.org/journals/journal_catalogue.asp?mnemonic=bjh	0007-0874	English	British Journal for the History of Science		Cambridge University Press
35	Bull. Hist. Chem.	2	http://www.scs.uiuc.edu/~mainzv/HIST/bulletin	1053-4385		Bulletin for the History of Chemistry		American Chemical Society
36	Bull. Sci. Tech. Soc.	6	hthttp://www.sagepub.com/journal.aspx?pid=159	0270-4676	English	Bulletin of Science, Technology & Society		Sage Publications, Inc.
43	Centaurus	4	http://www.blackwellpublishing.com/journal.asp?ref=0008-8994	0008-8994	English, French, German	Centaurus: International Magazine of the History of Mathematics, Science, and Technology	Centaurus: International Magazine of the History of Mathematics, Science, and Technology	Blackwell Munksgaard
45	Configurations	3	http://muse.jhu.edu/journals/configurations/	1063-1801	English 	Configurations: A Journal of Literature, Science, and Technology	Configurations: A Journal of Literature, Science, and Technology	Johns Hopkins University Press
47	Cronos	2	http://www.uv.es/IHCD/cronos/revista.html	1139-711X	Spanish and others	Cronos: Cuadernos Valencianos de Historia de la Medicina y de la Ciencia	Cronos: Cuadernos Valencianos de Historia de la Medicina y de la Ciencia	Universidad de Valencia
48	Cult. & Cosmos	2	Http://www.cultureandcosmos.org/	1368-6534	English 	Culture and Cosmos		Culture and Cosmos
53	Early Sci. & Med.	6	http://www.kun.nl/phil/center/esm.html	1383-7427	English, German	Early Science and Medicine: A Journal for the Study of Science, Technology and Medicine in the Pre-modern Period	Early Science and Medicine: A Journal for the Study of Science, Technology and Medicine in the Pre-modern Period	Brill Academic Publishers, Inc.
54	Earth Sci. Hist.	2	http://www.historyearthscience.org/index.html	0736-623X	English 	Earth Sciences History: Journal of the History of the Earth Sciences Society	Earth Sciences History: journal of the history of the earth sciences society	History of Earth Sciences Society
55	EASTM	2	http://www.uni-tuebingen.de/sinologie/eastm/	1562-918X	English 	East Asian Science, Technology, and Medicine		International Society for the History of East Asian Science, Technology and Medicine
57	Endeavour	4	http://www.elsevier.nl/inca/publications/store/5/7/4/index.htt	0160-9327	English 	Endeavour: Review of the Progress of Science	Endeavour: Review of the Progress of Science	Elsevier
59	Environ. Hist.	4	http://www.lib.duke.edu/forest/ehmain.html	1084-5453	English 	Environmental History		Duke University Press
63	Found. Chem.	3	http://www.wkap.nl/journalhome.htm/1386-4238 	1386-4238      	English	Foundations of Chemistry		Kluwer Academic Publishers Grp
73	Hist. Math.	4	http://www.academicpress.com/hm	0315-0860	English 	Historia Mathematica		Academic Press Inc
74	Hist. Scientiarum	3	http://wwwsoc.nii.ac.jp/jshs/historiascientiarum/	0285-4821	English, French, German	Historia Scientiarum: International Journal of the History of Science Society of Japan	Historia Scientiarum: International Journal of the History of Science Society of Japan	Nihon Kagakushi Gakkai
76	Hist. Rec. Aust. Sci.	2	http://www.publish.csiro.au/journals/hras/	0727-3061	English	Historical Records of Australian Science		Australian Academy of Science/  CSIRO Publishing
79	Hist. Phil. Life Sci.	4	http://www.tandf.co.uk/journals/tf/03919714.html 	0391-9714	English 	History and Philosophy of the Life Sciences		Taylor and Francis
82	Hist. Hum. Sci.	4	http://www.sagepub.co.uk/journal.aspx?pid=105577	0952-6951	English	History of the Human Sciences		Sage Publications Ltd.
84	Hist. Psychiat.	4	Http://www.alphaacademic.co.uk/hop.htm	0957-154X	English 	History of Psychiatry		Alpha Academic
85	Hist. Psychol.	4	http://www.apa.org/journals/hop.html	1093-4510	English	History of Psychology		American Psychological Association
87	Hist. Sci.	4	http://www.shpltd.co.uk/hs.html	0073-2753	English	History of Science		Science History Publications Ltd.
95	Imago Mundi	1	Http://www.ihrinfo.ac.uk/maps/imago.html	0308-5694	English 	Imago Mundi: A Review of Early Cartography	Imago Mundi: A Review of Early Cartography\n	Imago Mundi Ltd.
97	Indian J. Hist. Sci.	4		0019-5235	English	Indian Journal of History of Science		Indian National Science Academy
102	Isis	4	http://www.journals.uchicago.edu/Isis/	0021-1753	English	Isis: International Review Devoted to the History of Science and Its Cultural Influences	Isis: International Review devoted to the History of Science and its Cultural Influences\n	University of Chicago Press
107	J. Hist. Astron.	4	http://www.shpltd.co.uk/jha.html	0021-8286	English	Journal for the History of Astronomy		Science History Publications Ltd.
109	J. Astron. Hist. Herit.	2	http://www.astralpress.com.au/	1440-2507	English	Journal of Astronomical History and Heritage		astral press
120	J. Hist. Biol.	4	http://www.kluweronline.com/issn/0022-5010/	0022-5010	English	Journal of the History of Biology		Kluwer Academic Publishers Grp
125	J. Hist. Behav. Sci.	4	http://www.interscience.wiley.com/jpages/0022-5061/	0022-5061	English	Journal of the History of the Behavioral Sciences		wiley
126	J. Hist. Neurosci.	4	http://www.szp.swets.nl/szp/journals/jh.htm	0964-704X	English	Journal of the History of the Neurosciences	Journal of the History of the Neurosciences: Basic and clinical perspectives	swets and zeitlinger
128	Kagakushi Ken. (Chem.)	4	Http://members.jcom.home.ne.jp/kagakushi/Table_Content.html	0386-9512	Japanese	Kagakushi Kenkyu (History of Chemistry)		Kagakushi Gakkai
129	Kagakusi Ken. (Hist. Sci.)	4	http://wwwsoc.nii.ac.jp/jshs/publ1.html	0022-7692	Japanese	Kagakusi Kenkyu (History of Science)		Nihon Kagakushi Gakkai
131	Korot	irr		0023-4109	English, Hebrew	Korot: The Israel Journal of the History of Medicine and Science	Qorot: the Israel journal of the history of medicine and science\nFormerly: Jerusalem Historical Medical Publications (Israel) (0449-4881)	Magnes Press
132	Kwart. Hist. Nauk. Tech.	4	http://www.ihnpan.waw.pl/redakcje/kwartalnik/	0023-589X	Polish	Kwartalnik Historii Nauki i Techniki		Polska Akademia Nauk, Instytut Historii Nauki
134	Llull	3	http://www.unizar.es/hct/	0210-8615 	Spanish	Llull: Revista de la Sociedad Española de Historia de las Ciencias y de las Técnicas	Llull: Boletin de la Sociedad Española de Historia de las Ciencias\n	Universidad de Zaragoza, Servicio de Publicaciones
135	Lychnos	1	http://www.vethist.idehist.uu.se/lychnos/index.php?lang=eng	0076-1648	Swedish	Lychnos	Annual of the Swedish History of Science Society\n<Ao>rsbok f<o">r id<e'>- och l<a">rdomshistoria	Swedish Science Press
136	Manguinhos	3	http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-5970&lng=en&nrm=iso	0104-5970	portuguese, spanish	História, Ciências, Saúde---Manguinhos	Manguinhos	Casa de Oswald
142	Metascience	3	http://www.kluweronline.com/issn/0815-0796	0815-0796 	English	Metascience: An International Review Journal for the History, Philosophy and Social Studies of Science	Metascience: An International Review Journal for the History, Philosophy and Social Studies of Science\n	Kluwer
143	MHNH	 	Http://www.uco.es/dptos/c-antiguedad/griego/tablon/magia.htm	1578-4517	 English, French, German, Italian, Latin, Portuguese, Spanish	MHNH (Revista Internacional de Investigación sobre Magia y Astrología Antiguas) 		
144	Micrologus	1	Http://www.brepols.net/publishers/periodicals.htm#Micrologus	1123-2560	French, Italian	Micrologus: Natura, Scienze e Società Medievali	Micrologus: natura, scienze e società medievali: nature, sciences, and medieval societies	Brepols Publishers
146	Minerva	4	http://www.kluweronline.com/issn/0026-4695	0026-4695	English	Minerva: A Review of Science, Learning and Policy	Minerva: A Review of Science, Learning and Policy	kluwer
148	Neusis		http://sat1.space.noa.gr/hellinomnimon/neusis.htm			Neusis: The Greek Journal for the History and Philosophy of Science and Technology	Hexameniaio periodiko historias kai philosophias tes epistemes kai tes technologias.	NEFELI Publications
152	Notes Rec. Roy. Soc. Lond.	4	Http://www.pubs.royalsoc.ac.uk/not_rec/notes_records.html	0035-9149	English	Notes and Records of the Royal Society	Notes and Records of the Royal Society of London;\nNotes and Records of the Royal Society: A Journal of the History of Science	Royal Society
154	NTM	4	http://www.birkhauser.ch/journals/4800/4800_tit.htm	0036-6978	German, English, French	NTM: Zeitschrift für Geschichte der Naturwissenschaften, Technik und Medizin	<shelved Under>Naturwissenshaften...\nInternatiale Zeitschrift f<u"> Geschichte und Ethik der Naturwissenschaften, Technik und Medizin\nInterational Journal of the History and Ethics of Natural Sciences, Technology and Medicine	Birkhaeuser Verlag AG
155	Nuncius	2	http://www.imss.firenze.it/pubblic/enuncius.html	0394-7394	Italian	Nuncius: Annali di Storia della Scienza	Nuncius: Annali di Storia della Scienza\n	Casa Editrice Leo S. Olschki
156	Osiris	1	http://www.journals.uchicago.edu/Osiris/home.html	0369-7827	English	Osiris: A Research Journal Devoted to the History of Science and Its Cultural Influences	Osiris (Chicago): a research journal devoted to the history of science and its cultural influences	University of Chicago Press
159	Perspect. Sci.	4	http://mitpress.mit.edu/catalog/item/default.asp?ttype=4&tid=1	1063-6145	English	Perspectives on Science		MIT press
161	Phil. Natur.	2	Http://www.klostermann.de/zeitsch/phna_391.htm	0031-8027	German, English	Philosophia Naturalis		Vittorio Klostermann
163	Phys. Persp.	4	http://link.springer.de/link/service/journals/00016/	1422-6944	English	Physics in Perspective		springer
166	Physis	2	http://www.olschki.it/riviste/physis.htm	0031-9414	English, French, German, Italian, Spanish	Physis: Rivista Intemazionale di Storia della Scienza	Physis: Rivista Intemazionale di Stotia della Scienza\n	Casa Editrice Leo S. Olschki
171	Public Underst. Sci.	4	http://pus.sagepub.com/	0963-6625	English	Public Understanding of Science		Sage
180	Rev. Quest. Sci.	4		0035-2160	French, English	Revue des Questions Scientifiques		Societe Scientifique de Bruxelles
181	Rev. Hist. Sci.	2	Http://www.puf.com	0151-4105	French 	Revue d'Histoire des Sciences		Presses Universitaires de France
182	Rittenhouse	2	http://www.rittenhousejournal.org/			Rittenhouse: Journal of the American Scientific Instrument Enterprise	Rittenhouse: Joumal of the American Scientific Instrument Enterprise\n	
184	Saber Tiempo	2		0328-6584		Saber y Tiempo: Revista de Historia de la Ciencia\n	Saber y Tiempo: Revista de Historia de la Ciencia\n	Asociación Biblioteca José Babini. 
185	Sciamvs	1	Http://www.sciamvs.org	1345-4617	English	Sciamvs: Sources and Commentaries in Exact Sciences		Sciamvs
190	Sci. Cult.	4	http://human-nature.com/science-as-culture/	0950-5431	English	Science as Culture		carfax publishing taylor and francis group
