Record number	Subjeect number	Error type	New subject text	Old subject text	Subject type

340435	17157	Unknow subject number		B<u">low, Kurd von (1899-) [17157]	
550294	1489	Unknow subject number		Postage stamps[1489]	
550828	21083	Subject replaced	Serres, Michel	Technocracy	per. names
530028	21116	Unknow subject number		Hormig<o'>n Bl<a'>nquez, Mariano (1946-2004) [21116]	
501801		Unknow subject text		Johann Jakob Burckhardt (1903-)	
501377	21068	Subject replaced	Friedman, Michael (1947- )	Greenberg, John (1945-2004)	per. names
501882	21123	Unknow subject number		Knobloch, Eberhard [21123]	
410724	18115	Unknow subject number		Parsimony [18115]	
410825	14274	Unknow subject number		Variational principles [14274]	
501153	14528	Unknow subject number		Gastroenterology [14528]	
500952	21033	Subject replaced	Machines, perpetual motion	Intelligibility	2003
500952	21035	Unknow subject number		Ethos of science [21035]	
410751	18116	Subject replaced	Paradox (logic)	Paradox	2003
503153	17996	Unknow subject number		Explanation and explanationism [17996]	
500951	21034	Subject replaced	Bryozoology	authorities; experts	2003
500951	21035	Unknow subject number		Ethos of science [21035]	
500953	21034	Subject replaced	Bryozoology	authorities; experts	2003
500953	21035	Unknow subject number		Ethos of science [21035]	
410761	18117	Subject replaced	Cladistic analysis	Cladistics	2003
550031	17951	Subject replaced	Technology and war; technology and the military	Technology and war	2003
501355	21065	Unknow subject number		Omodeo, Pietro [21065]	
551082	1953	Unknow subject number		Artifacts[1953]	
500955	21035	Unknow subject number		Ethos of science [21035]	
500327		Unknow subject text		Concepts	
540014	14233	Unknow subject number		Mathematics [14233]	
501361	14350	Unknow subject number		The galaxy; Milky Way [14350]	
550748	21076	Unknow subject number		Observatoire astronomique de Strasbourg (France) [21076]	
502652	21067	Unknow subject number		Goldstein, Bernard R. [21067]	
501300	21069	Subject replaced	Cohen, Hermann (1842-1918)	Yuasa, Toshiko (1909-1980)	per. names
410823	18118	Subject replaced	Counterfactuals (logic)	Counterfactuals (philosophy)	2003
410729	15843	Unknow subject number		Physics [15843]	
471125	1079	Unknow subject number		Quantum field theory [1079]	
471125	1422	Unknow subject number		Waves [1422]	
470504	4300	Unknow subject number		Temperature [4300]	
500362	547	Unknow subject number		Cultural history [547]	
340440	15837	Unknow subject number		Periodicals and publishing [15837]	
500149	547	Unknow subject number		Cultural history [547]	
500895	1364	Unknow subject number		New Orleans (Louisiana) [1364]	
500897	2760	Unknow subject number		Fire [2760]	
550047	1560	Unknow subject number		Mountaineering [1560]	
502034	21020	Subject replaced	Shaposhinikov, Georgii (1915-1997)	Artificial life	per. names
471539	444	Unknow subject number		Evolutionary biology [444]	
530201	15738	Unknow subject number		Botanical gardens[15738]	
501510	21091	Subject replaced	Ajdukiewicz, Kasimierz (1937-1949)	Information theory	per. names
500954	21034	Subject replaced	Bryozoology	authorities; experts	2003
500954	21035	Unknow subject number		Ethos of science [21035]	
500353	18100	Unknow subject number		Blood [18100]	
501425		Unknow subject text		National Institute of Mental Health	
471543	2641	Unknow subject number		Engineering, Mechanical [2641]	
502402	21056	Unknow subject number		Educational technology [21056]	
550909	2436	Unknow subject number		Corn (Maize)[2436]	
520062	1463	Unknow subject number		Directories [1463]	
301951	21135	Unknow subject number		al-Baydawi, Abd Allah ibn Umar (d. 1276) [21135]	
501042	21002	Unknow subject number		Abu'l-Abbas al-Nayrizis [21002]	
501278	21036	Subject replaced	Fire retardants	Styles of thought	2003
502269	1404	Unknow subject number		Vietnam[1404]	
520010	92	Unknow subject number		Astronomy [92]	
503140	12619	Subject replaced	Schreck, Johann Terrenz (1576-1630)	Schreck, Johann (1576-1630)	per. names
502273	1404	Unknow subject number		Vietnam[1404]	
503119	592	Unknow subject number		Horses[592]	
503222	21130	Unknow subject number		Donnolo, Shabbetai (913-982) [21130]	
551195	2436	Unknow subject number		Corn (Maize)[2436]	
520001	2467	Unknow subject number		Cuneiform [2467]	
520001	14052	Unknow subject number		tablets; papyri [14052]	
550707	1232	Subject replaced	Celestial maps	Celestial maps; star catalogs	2003
500359	551	Unknow subject number		History of ideas [551]	
500359	40	Unknow subject number		Alchemy [40]	
502255	21013	Subject replaced	Colom i Casanovas, Guillem (1900-1993)	Quantity (philosophy)	per. names
500497	1064	Unknow subject number		Ptolemy Almagest [1064]	
500451	21021	Unknow subject number		Religious buildings; temples [21021]	
502197	8310	Unknow subject number		Diocles of Carystos (3rd cent. B.C.) [8310]	
500901	17951	Subject replaced	Technology and war; technology and the military	Technology and war	2003
501472	21049	Subject replaced	Heron-Allen, Edward (1861-1943)	Gimpel, Jean (1918-1996)	per. names
502160	21041	Subject replaced	Aliotta, Antonio (1881-1964)	Menstruation	per. names
502160	18100	Unknow subject number		Blood [18100]	
503223	21130	Unknow subject number		Donnolo, Shabbetai (913-982) [21130]	
503228	2460	Unknow subject number		Crusades[2460]	
551230	21132	Unknow subject number		Pepagomenus, Demetrius (fl. 1260) [21132]	
501477	17951	Subject replaced	Technology and war; technology and the military	Technology and war	2003
500272	1904	Unknow subject number		Aqueducts [1904]	
500272	14685	Unknow subject number		Technology [14685]	
501274	4561	Unknow subject number		Windmills [4561]	
750949	126	Unknow subject number		Beer making [126]	
502106	21040	Unknow subject number		Milan (Italy) [21040]	
550754	62	Unknow subject number		Animals in art [62]	
502107	21038	Subject replaced	Leeds, Alfred Nicholson	Mirrors	per. names
501345	2317	Unknow subject number		Clocks, Astronomical [2317]	
540022	14334	Unknow subject number		Astronomy [14334]	
550979	63	Unknow subject number		Animals in literature [63]	
550983	63	Unknow subject number		Animals in literature [63]	
358259		Unknow subject text		Johannes Joachim Muller (1665-1731)	
530099	17951	Subject replaced	Technology and war; technology and the military	Technology and war	2003
500936	17951	Subject replaced	Technology and war; technology and the military	Technology and war	2003
502153	21039	Unknow subject number		Camera obscura [21039]	
502152	21039	Unknow subject number		Camera obscura [21039]	
500009	18120	Unknow subject number		Rahn, Johann Heinrich () [18120]	
540019	14233	Unknow subject number		Mathematics [14233]	
750889	18046	Unknow subject number		North, Frances (17th cent.) [18046]	
501862	18046	Unknow subject number		North, Frances (17th cent.) [18046]	
501862		Unknow subject text		Guilford, Frances North, Baron (1637-1685)	
500498		Unknow subject text		Buoyancy	
530322	21059	Subject replaced	Czermak, Johann Nepomuk (1828--1873)	Cortavila y Sanabria, Diego (1597-1657)	per. names
500787	21029	Subject replaced	Ko<l+><l+><a(>taj, Hugo (1750-1812)	Lipperhey, Hans (d. 1619)	per. names
500787	21030	Subject replaced	Birkenmajer, Ludwik Antoni (1855-1929)	Janssen, Sacharias (1588-1630)	per. names
550673	21022	Subject replaced	Carthage	Magic lantern	2003
550673	21023	Subject replaced	Linden, Maria Gr<a">fin von (1869-1936)	Projectors, lantern	per. names
750913	3442	Unknow subject number		Mirrors [3442]	
6660134	15764	Unknow subject number		Ethnicity, race, and gender [15764]	
500772	15887	Unknow subject number		Women and science [15887]	
502377	21070	Subject replaced	Preformation	Brisbane, Thomas Makdougall (1773-1860)	2003
550831	21053	Subject replaced	Schultz, Adolph Hans (1891-1976)	Blair, Robert (18th cent.)	per. names
550731	21050	Subject replaced	Postman, Neil (1931-2003)	Watson, Richard (1737-1816)	per. names
550359	21044	Unknow subject number		Alessandro, Count di Cagliostro (Giuseppe Balsamo) (1743-1795) [21044]	
340462		Unknow subject text		Friedrich Wilhelm II of Prussia (fl. 1786-1797)	
340462	21088	Unknow subject number		Silver and silver industry [21088]	
550010	64	Unknow subject number		Antarctica [64]	
501841	63	Unknow subject number		Animals in literature [63]	
501101	21025	Subject replaced	M<u">ller, Salomon (1804-1864)	Barr, James Smith (fl. 1769-1806)	per. names
501101	21026	Subject replaced	Petroleum industry	Kenrick, William (c. 1729-1779)	2003
500937	21082	Subject replaced	Crustacea; crustaceans	P<e`>re, Antoine Banal	2003
530041	21108	Unknow subject number		Viera y Clavijo, Jos<e'> (1731-1813) [21108]	
530041	21109	Unknow subject number		Cavanilles, Antonio Jos<e'> (1745-1804) [21109]	
530031	21092	Unknow subject number		Barba y Roca, Manuel (1752-1824) [21092]	
501170	13	Subject replaced	19th century		time period
501249	2631	Unknow subject number		Engineering Firms [2631]	
750856	1757	Unknow subject number		Science and media [1757]	
550537		Unknow subject text		Martin, Charles Linnaeus (1798	
550537	21086	Subject replaced	Technology assessment	--1864)	2003
550537		Unknow subject text		Milner, Thomas (1808	
550537	21087	Subject replaced	Communication of science	--ca. 1882)	2003
502887	21144	Unknow subject number		Presbyterian Church [21144]	
502887	21145	Unknow subject number		American South (United States) [21145]	
502887	21146	Unknow subject number		Woodrow, James [21146]	
500853	21021	Unknow subject number		Drummond, Henry (1851-1897) [21021]	
501536	17951	Subject replaced	Technology and war; technology and the military	Technology and war	2003
501374	21090	Unknow subject number		Green, Thomas Hill (1836-1882) [21090]	
501811	21024	Subject replaced	Zoological geography	Utilitarianism	2003
500123	200	Unknow subject number		Cantor's Set Theory [200]	
502379	21070	Subject replaced	Preformation	Brisbane, Thomas Makdougall (1773-1860)	2003
502378	21070	Subject replaced	Preformation	Brisbane, Thomas Makdougall (1773-1860)	2003
500928	13	Subject replaced	19th century		time period
500928	15	Subject replaced	20th century, early		time period
500929	13	Subject replaced	19th century		time period
500929	15	Subject replaced	20th century, early		time period
500280		Unknow subject text		Alexander Agassiz (1835-1910)	
500280	18097	Unknow subject number		Coral [18097]	
502284	21062	Unknow subject number		Yelverton, Barbara, Marchioness of Hastings (1810-1858) [21062]	
530036	21093	Unknow subject number		Daniel Francisco de Paula Cortazar y Larrubia (1844-1927) [21093]	
340455	1541	Unknow subject number		Theories of the earth [1541]	
501786	1534	Unknow subject number		Weather [1534]	
501464	21047	Subject replaced	Fraser, Louis (1819-1884)	Flinders, Matthew (1774-1814)	per. names
501547	1734	Unknow subject number		Whaling [1734]	
501169	21028	Subject replaced	S<l+>onimski, Piotr (1922- )	Balfour, Alice Blanche (1864-1936)	per. names
502282	21061	Subject replaced	Mechanical engineering	Williams, Henry Shaler (1847-1918)	2003
530022	13	Subject replaced	19th century		time period
530022	21112	Unknow subject number		Barcia Caballero, Juan (1852-1926) [21112]	
530022	21113	Unknow subject number		Romero Blanco, Francisco (1838-1918) [21113]	
530257	21037	Subject replaced	Conrad, Pete (1930-1999)	Baird, William (1803-1872)	per. names
501159	21079	Subject replaced	Auroras	Merezhkovsky, Konstantin Sergivich (1855-1921)	2003
501159	1281	Unknow subject number		Symbiosis [1281]	
550014	15738	Unknow subject number		Botanical gardens [15738]	
501103	21027	Subject replaced	Deparcieux, Antoine (1703-1768)	Diggles, Silvester (1817-1880)	per. names
502752	21035	Unknow subject number		Sanctis, Sante de (1862-1935) [21035]	
501054		Unknow subject text		McCosh, James (1811-ca.1900)	
550899		Unknow subject text		Czermak, Johann Nepomuk (1828	
550899	21059	Subject replaced	Czermak, Johann Nepomuk (1828--1873)	--1873)	per. names
551284	21138	Unknow subject number		McCulloh, James H., Jr. [21138]	
550648	4074	Unknow subject number		Siberia (Russia)[4074]	
501404	21046	Subject replaced	Barton, Otis (1899?-)	Medical chemistry	per. names
550419	21085	Unknow subject number		Orthopedic surgery [21085]	
503208	21150	Unknow subject number		Gibraltar [21150]	
530315	21058	Unknow subject number		Medical apparatus and instruments [21058]	
500778	21012	Subject replaced	Calvet, Esprit-Claude Francois (1728-1810)	Railroads, atmospheric	per. names
501221	21044	Unknow subject number		Abbe, Ernst Karl (1840-1905) [21044]	
501221	21043	Subject replaced	Bertell, Rosalie (1929- )	Czapski, Siegfried (1861-1907)	per. names
500387	4355	Unknow subject number		Tour Eiffel (Paris) [4355]	
750891	2237	Unknow subject number		Carriages and Carts [2237]	
500270	14685	Unknow subject number		Technology [14685]	
500165		Unknow subject text		Santpon<c,>, ?? ()	
500165		Unknow subject text		Monturiol, ?? ()	
500165		Unknow subject text		Isaac Peral, ?? ()	
500926	3752	Unknow subject number		Porcelain [3752]	
750858	15772	Unknow subject number		Forestry [15772]	
550826	21083	Subject replaced	Serres, Michel	Technocracy	per. names
501083	8397	Subject replaced	Du Bois, William Edward B. (1868-1963)	Du Bois, William Edward Burghardt (1868-1963)	per. names
501093	1697	Unknow subject number		Prisoners [1697]	
502925	16	Subject replaced	20th century, late		time period
500667	15764	Unknow subject number		Ethnicity, race, and gender [15764]	
500012	17951	Subject replaced	Technology and war; technology and the military	Technology and war	2003
500933	17951	Subject replaced	Technology and war; technology and the military	Technology and war	2003
500933		Unknow subject text		V<o">gler, Albert (1877	
500933	18073	Subject replaced	V<o">gler, Albert (1877--1945)	--1945)	per. names
500011	3310	Unknow subject number		Magnetron [3310]	
500011	4035	Unknow subject number		Secrecy [4035]	
500011	17951	Subject replaced	Technology and war; technology and the military	Technology and war	2003
500125		Unknow subject text		Knot Theory	
502358	21075	Subject replaced	Wessel, Caspar (1745-1818)	Barnes, Eric Stephen (1924-2000)	per. names
551289	21142	Unknow subject number		Pomeranchuk, Isaac Yakovlevich [21142]	
502362	21071	Subject replaced	Cross-national comparision	Price, James Robert (1912-1999)	2003
500460	21062	Unknow subject number		Majima, Rikou [21062]	
502328	21063	Unknow subject number		Matheron, Georges [21063]	
340448	21089	Subject replaced	Private life	Tischendorf, Gerhard (b. 1927)	2003
502329		Unknow subject text		Griffiths, John Cedric (1912	
502329	21064	Unknow subject number		--1992) [21064]	
502330		Unknow subject text		Chayes, Felix (1916	
502330	21065	Unknow subject number		--1993) [21065]	
502332	21066	Subject replaced	Museo del Collegio Romano	Krumbien, William Christian	institutions
502333	14057	Unknow subject number		biography [14057]	
502333	21067	Unknow subject number		Vistelius, A. B. [21067]	
750870	64	Unknow subject number		Antarctica [64]	
530255	1621	Unknow subject number		Mammals [1621]	
750852	464	Unknow subject number		Fire ants [464]	
550897	21057	Unknow subject number		Rashevsky, Nicolas [21057]	
501231	21045	Subject replaced	Reed, Walter (1851-1902)	Jucci, Carlo (1897-1962)	per. names
550474	21073	Subject replaced	Hartmann, Max (1876-1962)	Hartmann, Max	per. names
